"Plot" "Treeno" "Species" "x" "y" "dbh" "d.end" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "year" "period" "xmax" "ymax"
"20" "BRO-A-I" 20 1 19.5752433982905 11.4454116818174 24.1 NA 0.143499624395089 NA NA NA NA "2005" 4 25 40
"21" "BRO-A-I" 21 1 17.534361486384 11.6066507020719 14.3 16.05 0.514015345661299 0.4375 0.0288623280775409 0.00104286149883617 0.0577246561550816 "2005" 4 25 40
"22" "BRO-A-I" 22 1 14.2536081297467 11.3552836141048 22.05 NA 0.236445560339707 NA NA NA NA "2005" 4 25 40
"23" "BRO-A-I" 23 1 12.5096285024991 8.94516306530569 21.35 NA 0.24490073747093 NA NA NA NA "2005" 4 25 40
"24" "BRO-A-I" 24 1 13.4691328000719 7.81676973718846 20.05 22.35 0.293901866395956 0.575000000000001 0.02714929182675 0.00191480072236298 0.0542985836534999 "2005" 4 25 40
"25" "BRO-A-I" 25 1 13.951527283051 6.04646113053492 16.3 17.95 0.409742863814565 0.4125 0.0241062517803927 0.00110962034272496 0.0482125035607855 "2005" 4 25 40
"26" "BRO-A-I" 26 1 8.98127374249862 5.09508752220473 14.6 15.8 0.560100199314606 0.3 0.0197471028296575 0.000716283125018473 0.0394942056593152 "2005" 4 25 40
"27" "BRO-A-I" 27 1 8.86729381153362 6.3930141670262 22.4 23.9 0.188173016307022 0.375 0.0162043750191178 0.00136364756119882 0.0324087500382354 "2005" 4 25 40
"28" "BRO-A-I" 28 1 8.42534261575487 11.0591973117976 22.55 27.15 0.153165564929191 1.15 0.0464104951078143 0.00448894320289811 0.0928209902156285 "2005" 4 25 40
"29" "BRO-A-I" 29 1 5.21360902712531 12.3395946546832 18.4 20.6 0.217477831514589 0.550000000000001 0.0282351027951488 0.00168467906048753 0.0564702055902978 "2005" 4 25 40
"30" "BRO-A-I" 30 1 3.93034865000971 9.57562417645341 19.6 21.55 0.18832987505145 0.4875 0.0237115625783213 0.00157555780316049 0.0474231251566426 "2005" 4 25 40
"31" "BRO-A-I" 31 1 3.63418622263925 7.06800821370826 17.25 18.2 0.273624800867778 0.2375 0.0134023626513452 0.000661256166195441 0.0268047253026905 "2005" 4 25 40
"32" "BRO-A-I" 32 1 0.573586808803052 5.51843303707893 18.9 NA 0.153547048319938 NA NA NA NA "2005" 4 25 40
"33" "BRO-A-I" 33 1 0.493387434936731 10.6878861087716 13.05 14.35 0.313655203506918 0.325 0.0237404521092319 0.000699397064505429 0.0474809042184641 "2005" 4 25 40
"34" "BRO-A-I" 34 1 0.01 14.4926123259579 18.75 NA 0.134327140336223 NA NA NA NA "2005" 4 25 40
"35" "BRO-A-I" 35 1 0.49546525320279 20.0205127852582 20.65 24.2 0.142214577138129 0.8875 0.0396593284388997 0.00312622830201833 0.0793186568777995 "2005" 4 25 40
"36" "BRO-A-I" 36 1 2.57569343221048 17.9390009012514 15.85 NA 0.297638573742621 NA NA NA NA "2005" 4 25 40
"37" "BRO-A-I" 37 1 3.89829967033337 20.2357659608249 13.3 13.65 0.594089214800833 0.0874999999999999 0.00649387160081516 0.000185206704406161 0.0129877432016303 "2005" 4 25 40
"38" "BRO-A-I" 38 1 4.79344482683423 21.9950954208162 26.25 27.65 0.129947745415729 0.35 0.0129899347326777 0.00148165363524928 0.0259798694653555 "2005" 4 25 40
"39" "BRO-A-I" 39 1 5.96334162186987 17.2006617223524 18.15 NA 0.264960388260689 NA NA NA NA "2005" 4 25 40
"40" "BRO-A-I" 40 1 8.13490827183552 20.145985352237 15.55 16.25 0.469208951581559 0.175 0.0110080675376258 0.00043707407793068 0.0220161350752517 "2005" 4 25 40
"41" "BRO-A-I" 41 1 10.2128853023372 20.7008307908118 13.7 14.15 0.639714073607642 0.1125 0.00807969781379192 0.000246075062069465 0.0161593956275838 "2005" 4 25 40
"42" "BRO-A-I" 42 1 8.90450554848167 18.3027414639307 20.1 NA 0.330700986115651 NA NA NA NA "2005" 4 25 40
